date,network,daypart,viewers
201505,A,"M,T,W,R,F 6:00 PM - 8:00 PM",225
201505,B,"M,T,W,R,F 6:00 PM - 8:00 PM",537
201506,A,"S,Su 1:00 PM - 8:00 PM",237
201506,B,"S,Su 1:00 PM - 8:00 PM",584
201506,A,"S,Su 6:00 AM - 8:00 AM",96
201506,B,"S,Su 6:00 AM - 8:00 AM",0
201506,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",195
201506,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",359
201506,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",342
201506,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",639
201506,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",486
201506,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1176
201506,A,"M,T,W,R,F 4:00 PM - 6:00 PM",162
201506,B,"M,T,W,R,F 4:00 PM - 6:00 PM",436
201506,A,"M,T,W,R,F 1:00 PM - 4:00 PM",132
201506,B,"M,T,W,R,F 1:00 PM - 4:00 PM",372
201506,A,"M,T,W,R,F 10:00 AM - 1:00 PM",112
201506,B,"M,T,W,R,F 10:00 AM - 1:00 PM",260
201506,A,"M,T,W,R,F 6:00 AM - 10:00 AM",93
201506,B,"M,T,W,R,F 6:00 AM - 10:00 AM",113
201506,A,"S,Su 8:00 AM - 1:00 PM",148
201506,B,"S,Su 8:00 AM - 1:00 PM",386
201506,A,"M,T,W,R,F 6:00 PM - 8:00 PM",220
201506,B,"M,T,W,R,F 6:00 PM - 8:00 PM",597
201507,A,"S,Su 1:00 PM - 8:00 PM",196
201507,B,"S,Su 1:00 PM - 8:00 PM",853
201507,A,"S,Su 6:00 AM - 8:00 AM",91
201507,B,"S,Su 6:00 AM - 8:00 AM",0
201507,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",170
201507,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",473
201507,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",325
201507,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",864
201507,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",448
201507,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1525
201507,A,"M,T,W,R,F 4:00 PM - 6:00 PM",156
201507,B,"M,T,W,R,F 4:00 PM - 6:00 PM",602
201507,A,"M,T,W,R,F 1:00 PM - 4:00 PM",129
201507,B,"M,T,W,R,F 1:00 PM - 4:00 PM",511
201507,A,"M,T,W,R,F 10:00 AM - 1:00 PM",112
201507,B,"M,T,W,R,F 10:00 AM - 1:00 PM",364
201507,A,"M,T,W,R,F 6:00 AM - 10:00 AM",85
201507,B,"M,T,W,R,F 6:00 AM - 10:00 AM",166
201507,A,"S,Su 8:00 AM - 1:00 PM",157
201507,B,"S,Su 8:00 AM - 1:00 PM",492
